provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-11,19.2,9.5,0.0,20.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-12,19.5,5.1,0.0,12.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-13,19.5,7.2,0.1,13.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-14,18.6,8.0,0.0,16.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-15,19.8,5.9,0.0,16.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-16,24.5,8.0,0.0,12.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-17,24.5,11.7,0.1,23.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-18,27.5,14.0,0.0,19.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-19,24.6,14.0,9.6,27.3
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2024-09-20,22.7,10.3,0.0,16.7
